station,latitude,longitude,start,tripdurationS,end,tripdurationE,month
Dey St,40.737711,-74.066921,140,1063.5,120,1021.0,May
Hoboken Ave at Monmouth St,40.73520838045360,-74.04696375131610,452,1668.0,461,1783.0,May
Baldwin at Montgomery,40.7236589,-74.0641943,312,859.5,313,982.0,May
Warren St,40.721123600000000,-74.03805095,657,1078.0,673,1009.0,May
Communipaw & Berry Lane,40.71435836870430,-74.06661093235020,239,1670.0,244,1699.0,May
Grand St,40.71517767732030,-74.03768330812450,429,1326.0,421,1380.0,May
Paulus Hook,40.7141454,-74.0335519,693,1571.0,710,1528.0,May
Pershing Field,40.742677141,-74.051788633,237,1308.0,234,1639.5,May
Riverview Park,40.7443187,-74.04399090000000,163,1689.0,161,1616.0,May
Leonard Gordon Park,40.74590996631560,-74.05727148056030,71,1833.0,65,1447.0,May
Columbus Dr at Exchange Pl,40.71687,-74.03281,1589,1376.0,1607,1407.0,Jun
Heights Elevator,40.748715945380200,-74.04044330120090,508,1736.0,493,1939.0,Jun
Columbus Drive,40.71835519823210,-74.03891444206240,796,859.5,793,829.0,Jun
Morris Canal,40.7124188237569,-74.03852552175520,1006,1254.5,1010,1110.0,Jun
Harborside,40.71925170000000,-74.034234,1481,1121.0,1494,947.0,Jun
Grove St PATH,40.71958611647170,-74.0431174635887,1819,618.0,2073,603.0,Jun
York St,40.71649,-74.04105,377,1105.0,379,883.0,Jun
Sip Ave,40.73089709786180,-74.06391263008120,1025,557.0,938,463.5,Jun
Hilltop,40.7311689,-74.0575736,457,728.0,357,957.0,Jun
Oakland Ave,40.7376037,-74.05247830000000,195,705.0,150,782.5,Jun
Lincoln Park,40.7246050998869,-74.07840594649320,888,1690.5,921,1738.0,Jun
Glenwood Ave,40.72755146730010,-74.07106071710590,240,911.0,217,1280.0,Jun
Hamilton Park,40.727595966000000,-74.044247311,1694,975.0,1734,840.5,Jun
Newport Pkwy,40.728744800000000,-74.03210820000000,2604,1387.0,2618,1426.5,Jun
Baldwin at Montgomery,40.7236589,-74.0641943,546,695.5,524,791.0,Jun
Washington St,40.7242941,-74.0354826,933,1291.0,933,1336.0,Jun
Newark Ave,40.72152515,-74.046304543,898,767.0,914,654.5,Jun
Bergen Ave,40.72210378668600,-74.07145500183100,310,514.0,311,449.0,Jun
Essex Light Rail,40.712774200000000,-74.03648570000000,428,1164.5,432,927.5,Jun
Christ Hospital,40.734785818,-74.050443636,171,625.0,155,888.0,Jun
Liberty Light Rail,40.711242300000000,-74.0557013,2589,2327.0,2621,2249.0,Jun
Brunswick St,40.7241765,-74.05065640000000,442,673.5,447,604.0,Jun
Marin Light Rail,40.71458403535890,-74.04281705617910,1459,1013.0,1490,1054.0,Jun
Monmouth and 6th,40.72568548362900,-74.0487903356552,321,603.0,320,538.0,Jun
JC Medical Center,40.71653978099190,-74.0496379137039,1223,1085.0,1237,1415.0,Jun
Van Vorst Park,40.71848892,-74.047726625,801,977.0,815,1003.0,Jun
Jersey & 6th St,40.72528910781130,-74.04557168483730,484,610.0,492,604.5,Jun
McGinley Square,40.7253399253558,-74.06762212514880,533,511.0,389,674.0,Jun
Paulus Hook,40.7141454,-74.0335519,1141,1503.0,1138,1522.5,Jun
Astor Place,40.71928220070700,-74.07126188278200,373,747.0,379,724.0,Jun
Hoboken Ave at Monmouth St,40.73520838045360,-74.04696375131610,642,1455.5,640,1647.0,Jun
City Hall,40.717732500000000,-74.04384500000000,1061,842.0,1078,878.0,Jun
Dey St,40.737711,-74.066921,201,1100.0,177,852.0,Jun
Riverview Park,40.7443187,-74.04399090000000,273,1218.0,260,1419.5,Jun
Jersey & 3rd,40.723331586464400,-74.04595255851740,632,564.0,633,659.0,Jun
Pershing Field,40.742677141,-74.051788633,403,1214.0,375,1313.0,Jun
Journal Square,40.733670000000000,-74.0625,199,727.0,171,674.0,Jun
Union St,40.71821130000000,-74.08363940000000,288,1619.0,289,1582.0,Jun
Manila & 1st,40.72165072488000,-74.04288411140440,521,811.0,521,779.0,Jun
Newport PATH,40.7272235,-74.03375890000000,1143,1020.0,1138,981.0,Jun
Warren St,40.721123600000000,-74.03805095,919,829.0,917,732.0,Jun
Dixon Mills,40.72163014263840,-74.04996782541280,350,460.0,365,455.0,Jun
Montgomery St,40.71942,-74.05099,403,763.0,403,622.0,Jun
Jackson Square,40.71113,-74.0789,215,1423.0,225,1672.0,Jun
5 Corners Library,40.73496102000950,-74.05950307846070,221,930.0,172,1061.0,Jun
Grand St,40.71517767732030,-74.03768330812450,632,990.0,645,1041.0,Jun
Lafayette Park,40.71346382669200,-74.06285852193830,361,1048.0,388,1343.0,Jun
Communipaw & Berry Lane,40.71435836870430,-74.06661093235020,262,1643.5,277,1468.0,Jun
Fairmount Ave,40.72572613742560,-74.07195925712580,279,731.0,263,671.0,Jun
Brunswick & 6th,40.726011729646200,-74.0503889322281,409,645.0,418,582.0,Jun
Leonard Gordon Park,40.74590996631560,-74.05727148056030,176,1184.0,163,1380.0,Jun
Jackson Square,40.71113,-74.0789,218,1180.5,218,1407.0,Jul
Hoboken Ave at Monmouth St,40.73520838045360,-74.04696375131610,555,1117.0,549,1217.0,Jul
Columbus Dr at Exchange Pl,40.71687,-74.03281,1467,992.0,1525,1072.0,Jul
Glenwood Ave,40.72755146730010,-74.07106071710590,196,658.5,193,988.0,Jul
Union St,40.71821130000000,-74.08363940000000,260,1378.5,264,1475.0,Jul
Marin Light Rail,40.71458403535890,-74.04281705617910,1612,846.5,1631,804.0,Jul
Hilltop,40.7311689,-74.0575736,364,704.5,300,799.5,Jul
Grove St PATH,40.71958611647170,-74.0431174635887,2210,464.5,2450,457.0,Jul
Jersey & 6th St,40.72528910781130,-74.04557168483730,564,379.0,563,443.0,Jul
Harborside,40.71925170000000,-74.034234,1423,898.0,1422,818.0,Jul
Lincoln Park,40.7246050998869,-74.07840594649320,907,1471.0,940,1536.0,Jul
Sip Ave,40.73089709786180,-74.06391263008120,1433,524.0,1262,454.0,Jul
Lafayette Park,40.71346382669200,-74.06285852193830,509,1064.0,535,1118.0,Jul
Dixon Mills,40.72163014263840,-74.04996782541280,485,424.0,483,452.0,Jul
Oakland Ave,40.7376037,-74.05247830000000,297,804.0,200,1012.0,Jul
Montgomery St,40.71942,-74.05099,418,669.5,414,565.5,Jul
Hamilton Park,40.727595966000000,-74.044247311,1761,674.0,1776,625.5,Jul
Leonard Gordon Park,40.74590996631560,-74.05727148056030,153,929.0,148,1178.0,Jul
Fairmount Ave,40.72572613742560,-74.07195925712580,320,625.0,272,509.0,Jul
Newport Pkwy,40.728744800000000,-74.03210820000000,2679,1204.0,2694,1282.5,Jul
Morris Canal,40.7124188237569,-74.03852552175520,1079,1045.0,1089,946.0,Jul
Bergen Ave,40.72210378668600,-74.07145500183100,392,472.0,372,448.0,Jul
Baldwin at Montgomery,40.7236589,-74.0641943,573,663.0,571,712.0,Jul
JC Medical Center,40.71653978099190,-74.0496379137039,1398,983.0,1427,1159.0,Jul
Warren St,40.721123600000000,-74.03805095,1030,667.0,1037,642.0,Jul
Riverview Park,40.7443187,-74.04399090000000,199,1080.0,198,1236.0,Jul
Van Vorst Park,40.71848892,-74.047726625,804,649.0,829,669.0,Jul
Essex Light Rail,40.712774200000000,-74.03648570000000,535,672.0,557,738.0,Jul
Newark Ave,40.72152515,-74.046304543,968,597.0,970,529.0,Jul
Washington St,40.7242941,-74.0354826,988,1176.0,986,1005.5,Jul
Pershing Field,40.742677141,-74.051788633,371,1182.0,367,1277.0,Jul
Jersey & 3rd,40.723331586464400,-74.04595255851740,622,424.5,629,473.0,Jul
Columbus Drive,40.71835519823210,-74.03891444206240,815,831.0,802,783.0,Jul
York St,40.71649,-74.04105,391,623.0,390,693.0,Jul
Monmouth and 6th,40.72568548362900,-74.0487903356552,350,465.5,357,444.0,Jul
Heights Elevator,40.748715945380200,-74.04044330120090,369,1390.0,357,1559.0,Jul
Liberty Light Rail,40.711242300000000,-74.0557013,2322,1921.5,2346,1928.5,Jul
Dey St,40.737711,-74.066921,175,1101.0,172,925.0,Jul
City Hall,40.717732500000000,-74.04384500000000,1106,727.5,1176,592.5,Jul
McGinley Square,40.7253399253558,-74.06762212514880,582,416.0,400,393.5,Jul
Paulus Hook,40.7141454,-74.0335519,1069,1268.0,1078,1280.0,Jul
Brunswick St,40.7241765,-74.05065640000000,497,634.0,507,534.0,Jul
